token	label	f_x	f_y	f_xy	pmi	pmi_freq
Arbeitsmarkt	6	1445	40	21	2.5987488278025284	9.586471157283423
Mindestlohn	6	1445	20	19	3.191812549805491	9.561815866586965
Arbeitskraft	6	1445	15	8	2.6144971847706677	7.080189626999369
arbeiten	6	1445	17	8	2.4893340418166616	7.052814425088361
Arbeit	6	1445	27	8	2.0267105198685487	6.679707248101562
Nahles	6	1445	12	6	2.5499586636330966	6.336409239946405
Arbeitsmigration	6	1445	11	6	2.6369700406227263	6.3231779949201625
Zugang	6	1445	19	6	2.0904263342546563	6.155132781655424
Wirtschaft	6	1445	13	5	2.2875943991656054	5.86756378427243
Ausbildung	6	1445	26	6	1.7767687753996146	5.788884195994153
Integration	6	1445	67	10	1.3409983177961213	5.638485729453052
Deutschkurse	6	1445	14	4	1.9903428756976738	5.252628954557457
legal	6	1445	26	5	1.59444721860566	5.194862962997082
schon	6	1445	79	10	1.176243084720066	5.139532820509277
Fachkräft	6	1445	6	4	2.8376407360848774	5.084369659147347
Westbalkan	6	1445	19	4	1.684961226146492	4.96126551264981
Ausnahme	6	1445	5	4	3.019962292878832	4.860441808280606
erlauben	6	1445	10	3	2.0391330398671057	4.695277340229631
Bürger	6	1445	34	5	1.3261832320109808	4.676600197771399
Reiner	6	1445	7	3	2.395807983805838	4.662027070875528
Studium	6	1445	7	3	2.395807983805838	4.662027070875528
Generalsekretär	6	1445	7	3	2.395807983805838	4.662027070875528
Andrea	6	1445	7	3	2.395807983805838	4.662027070875528
Job	6	1445	6	3	2.5499586636330966	4.568912581704717
erteilen	6	1445	6	3	2.5499586636330966	4.568912581704717
natürlich	6	1445	13	3	1.7767687753996146	4.557321928818963
niedrigschwellig	6	1445	5	3	2.732280220427051	4.397435374149096
ankündigen	6	1445	27	4	1.3335633393086033	4.395207216845135
integrieren	6	1445	16	3	1.5691294106213702	4.3505505076235655
Forderung	6	1445	51	6	1.103039680696771	4.33695969047562
Geflüchtet	6	1445	17	3	1.5085047888049352	4.273915897214847
beschließen	6	1445	29	4	1.2621043753264582	4.249878800044467
Monat	6	1445	53	6	1.064573399868975	4.2266671608824815
aussetzen	6	1445	19	3	1.3972791536947111	4.114203204915403
suchen	6	1445	20	3	1.3459858593071603	4.032213278473761
Möglichkeit	6	1445	20	3	1.3459858593071603	4.032213278473761
werben	6	1445	20	3	1.3459858593071603	4.032213278473761
drei	6	1445	45	5	1.0458812668568225	3.981316987297328
Mensch	6	1445	182	15	0.7471493582184564	3.888170256413983
Gewerkschaft	6	1445	7	2	1.9903428756976738	3.873028401920041
Erfassung	6	1445	7	2	1.9903428756976738	3.873028401920041
Anerkennung	6	1445	7	2	1.9903428756976738	3.873028401920041
Kultur	6	1445	7	2	1.9903428756976738	3.873028401920041
bürokratisch	6	1445	7	2	1.9903428756976738	3.873028401920041
Haseloff	6	1445	7	2	1.9903428756976738	3.873028401920041
zahlen	6	1445	6	2	2.144493555524932	3.842416634810337
erheben	6	1445	6	2	2.144493555524932	3.842416634810337
Arbeitsplatz	6	1445	6	2	2.144493555524932	3.842416634810337
Hürde	6	1445	6	2	2.144493555524932	3.842416634810337
Visa-Erleichterung	6	1445	6	2	2.144493555524932	3.842416634810337
aufgrund	6	1445	6	2	2.144493555524932	3.842416634810337
dritter	6	1445	6	2	2.144493555524932	3.842416634810337
Ausland	6	1445	6	2	2.144493555524932	3.842416634810337
Geduldet	6	1445	6	2	2.144493555524932	3.842416634810337
leicht	6	1445	9	2	1.7390284474167677	3.8210360453509695
verstärkt	6	1445	9	2	1.7390284474167677	3.8210360453509695
zuvor	6	1445	23	3	1.206223916932002	3.782108114655695
erhöhen	6	1445	10	2	1.6336679317589413	3.7616594265705525
senken	6	1445	10	2	1.6336679317589413	3.7616594265705525
befristet	6	1445	10	2	1.6336679317589413	3.7616594265705525
Chance	6	1445	10	2	1.6336679317589413	3.7616594265705525
Tür	6	1445	10	2	1.6336679317589413	3.7616594265705525
Hochschule	6	1445	5	2	2.3268151123188865	3.744864456990625
Bedingung	6	1445	5	2	2.3268151123188865	3.744864456990625
sodass	6	1445	5	2	2.3268151123188865	3.744864456990625
negativ	6	1445	5	2	2.3268151123188865	3.744864456990625
Jobcenter	6	1445	5	2	2.3268151123188865	3.744864456990625
Statuswechsel	6	1445	5	2	2.3268151123188865	3.744864456990625
Schutzstatus	6	1445	5	2	2.3268151123188865	3.744864456990625
bemühen	6	1445	5	2	2.3268151123188865	3.744864456990625
Sachsen-Anhalt	6	1445	11	2	1.5383577519546165	3.6888207812847034
Niedersachsen	6	1445	11	2	1.5383577519546165	3.6888207812847034
erleichtern	6	1445	11	2	1.5383577519546165	3.6888207812847034
Peter	6	1445	25	3	1.1228423079929506	3.614289960337723
vermitteln	6	1445	12	2	1.4513463749649866	3.6064602582962038
Mitarbeiter	6	1445	12	2	1.4513463749649866	3.6064602582962038
bisherig	6	1445	12	2	1.4513463749649866	3.6064602582962038
dürfen	6	1445	93	8	0.7899478927196216	3.58051741815844
Problem	6	1445	27	3	1.0458812668568225	3.447054036770027
festlegen	6	1445	14	2	1.2971956951377284	3.4233738071985824
Migrant	6	1445	55	5	0.8452105713946712	3.3870403712591646
Wohnung	6	1445	28	3	1.0095136226859474	3.3639058465974228
Leute	6	1445	15	2	1.228202823650777	3.326034903581789
Sprachkurs	6	1445	15	2	1.228202823650777	3.326034903581789
strikt	6	1445	15	2	1.228202823650777	3.326034903581789
öffnen	6	1445	15	2	1.228202823650777	3.326034903581789
früh	6	1445	16	2	1.1636643025132059	3.2263625216211356
Zuwanderer	6	1445	16	2	1.1636643025132059	3.2263625216211356
ermöglichen	6	1445	17	2	1.103039680696771	3.1251467423735995
wünschen	6	1445	17	2	1.103039680696771	3.1251467423735995
gleich	6	1445	17	2	1.103039680696771	3.1251467423735995
Sprache	6	1445	17	2	1.103039680696771	3.1251467423735995
finanziell	6	1445	17	2	1.103039680696771	3.1251467423735995
sofort	6	1445	17	2	1.103039680696771	3.1251467423735995
Gesellschaft	6	1445	32	3	0.875982230061425	3.0359230649384505
Politik	6	1445	32	3	0.875982230061425	3.0359230649384505
Zusammenarbeit	6	1445	18	2	1.0458812668568225	3.0229856758356215
Euro	6	1445	62	5	0.7254093715820507	2.993861960690233
erst	6	1445	33	3	0.8452105713946712	2.955285153912872
Beispiel	6	1445	19	2	0.9918140455865466	2.9203359359097885
Donnerstag	6	1445	19	2	0.9918140455865466	2.9203359359097885
Asylbewerber	6	1445	127	9	0.59614333507067	2.8878298454276963
einsetzen	6	1445	34	3	0.81535760824499	2.875244883160582
brauchen	6	1445	97	7	0.6143050147449722	2.810267895103507
bisher	6	1445	35	3	0.7863700713717378	2.7958193088648
Jahr	6	1445	99	7	0.5938961431137652	2.7290239561404355
tun	6	1445	36	3	0.7581991944050414	2.7170211722726316
Balkan	6	1445	36	3	0.7581991944050414	2.7170211722726316
Kontingent	6	1445	21	2	0.8917305870295641	2.7148937806157876
gerade	6	1445	21	2	0.8917305870295641	2.7148937806157876
ändern	6	1445	21	2	0.8917305870295641	2.7148937806157876
anbieten	6	1445	21	2	0.8917305870295641	2.7148937806157876
letzter	6	1445	21	2	0.8917305870295641	2.7148937806157876
Asylrecht	6	1445	52	4	0.678156486731505	2.6795615584131083
deshalb	6	1445	68	5	0.6330360514510355	2.6711004967519028
sogenannter	6	1445	37	3	0.730800220216927	2.6388596057456457
Gewährung	6	1445	5	1	1.6336679317589413	2.629287105700645
permanent	6	1445	5	1	1.6336679317589413	2.629287105700645
erheblich	6	1445	5	1	1.6336679317589413	2.629287105700645
orientieren	6	1445	5	1	1.6336679317589413	2.629287105700645
Geflüchtete	6	1445	5	1	1.6336679317589413	2.629287105700645
entwickeln	6	1445	5	1	1.6336679317589413	2.629287105700645
praktizieren	6	1445	5	1	1.6336679317589413	2.629287105700645
vielmehr	6	1445	5	1	1.6336679317589413	2.629287105700645
Fischer	6	1445	5	1	1.6336679317589413	2.629287105700645
anschließend	6	1445	5	1	1.6336679317589413	2.629287105700645
faktisch	6	1445	5	1	1.6336679317589413	2.629287105700645
Erstaufnahmelager	6	1445	5	1	1.6336679317589413	2.629287105700645
davor	6	1445	5	1	1.6336679317589413	2.629287105700645
Cem	6	1445	5	1	1.6336679317589413	2.629287105700645
umfangreich	6	1445	5	1	1.6336679317589413	2.629287105700645
ausreichend	6	1445	5	1	1.6336679317589413	2.629287105700645
Aufenthaltserlaubnis	6	1445	5	1	1.6336679317589413	2.629287105700645
ausdrücklich	6	1445	5	1	1.6336679317589413	2.629287105700645
monieren	6	1445	5	1	1.6336679317589413	2.629287105700645
deswegen	6	1445	5	1	1.6336679317589413	2.629287105700645
sinnvoll	6	1445	5	1	1.6336679317589413	2.629287105700645
bereiten	6	1445	5	1	1.6336679317589413	2.629287105700645
erfasst	6	1445	5	1	1.6336679317589413	2.629287105700645
insgesamt	6	1445	5	1	1.6336679317589413	2.629287105700645
fühlen	6	1445	5	1	1.6336679317589413	2.629287105700645
einräumen	6	1445	5	1	1.6336679317589413	2.629287105700645
warum	6	1445	5	1	1.6336679317589413	2.629287105700645
Klaus	6	1445	5	1	1.6336679317589413	2.629287105700645
gestern	6	1445	5	1	1.6336679317589413	2.629287105700645
Versuch	6	1445	5	1	1.6336679317589413	2.629287105700645
Teilhabe	6	1445	5	1	1.6336679317589413	2.629287105700645
nachdenken	6	1445	5	1	1.6336679317589413	2.629287105700645
geeignet	6	1445	5	1	1.6336679317589413	2.629287105700645
Perspektive	6	1445	5	1	1.6336679317589413	2.629287105700645
klären	6	1445	5	1	1.6336679317589413	2.629287105700645
Hamburg	6	1445	22	2	0.8452105713946712	2.6125817582081683
davon	6	1445	22	2	0.8452105713946712	2.6125817582081683
vorsehen	6	1445	22	2	0.8452105713946712	2.6125817582081683
null	6	1445	6	1	1.4513463749649866	2.600463610473326
Michael	6	1445	6	1	1.4513463749649866	2.600463610473326
Osten	6	1445	6	1	1.4513463749649866	2.600463610473326
meist	6	1445	6	1	1.4513463749649866	2.600463610473326
bekräftigen	6	1445	6	1	1.4513463749649866	2.600463610473326
abhalten	6	1445	6	1	1.4513463749649866	2.600463610473326
wenigstens	6	1445	6	1	1.4513463749649866	2.600463610473326
Aussetzung	6	1445	6	1	1.4513463749649866	2.600463610473326
teilweise	6	1445	6	1	1.4513463749649866	2.600463610473326
behaupten	6	1445	6	1	1.4513463749649866	2.600463610473326
Rheinland-Pfalz	6	1445	6	1	1.4513463749649866	2.600463610473326
vermeiden	6	1445	6	1	1.4513463749649866	2.600463610473326
Ruf	6	1445	6	1	1.4513463749649866	2.600463610473326
bedrohen	6	1445	6	1	1.4513463749649866	2.600463610473326
absolut	6	1445	6	1	1.4513463749649866	2.600463610473326
Müsst	6	1445	6	1	1.4513463749649866	2.600463610473326
Kabinett	6	1445	6	1	1.4513463749649866	2.600463610473326
Westbalkanstaat	6	1445	6	1	1.4513463749649866	2.600463610473326
Januar	6	1445	6	1	1.4513463749649866	2.600463610473326
Arzt	6	1445	6	1	1.4513463749649866	2.600463610473326
Flüchtlingsstrom	6	1445	6	1	1.4513463749649866	2.600463610473326
danach	6	1445	6	1	1.4513463749649866	2.600463610473326
baden-württembergisch	6	1445	6	1	1.4513463749649866	2.600463610473326
generell	6	1445	6	1	1.4513463749649866	2.600463610473326
Wunsch	6	1445	6	1	1.4513463749649866	2.600463610473326
März	6	1445	6	1	1.4513463749649866	2.600463610473326
müssn	6	1445	6	1	1.4513463749649866	2.600463610473326
ab	6	1445	87	6	0.568957194766513	2.5409105552747073
Deutschland	6	1445	260	16	0.4550129354172952	2.530182071849408
Özdemir	6	1445	7	1	1.2971956951377284	2.5242262684793677
Bedarf	6	1445	7	1	1.2971956951377284	2.5242262684793677
Dänemark	6	1445	7	1	1.2971956951377284	2.5242262684793677
Johanna	6	1445	7	1	1.2971956951377284	2.5242262684793677
konkret	6	1445	7	1	1.2971956951377284	2.5242262684793677
erweitern	6	1445	7	1	1.2971956951377284	2.5242262684793677
Andreas	6	1445	7	1	1.2971956951377284	2.5242262684793677
Angebot	6	1445	7	1	1.2971956951377284	2.5242262684793677
damals	6	1445	7	1	1.2971956951377284	2.5242262684793677
Erstaufnahmeeinrichtungen	6	1445	7	1	1.2971956951377284	2.5242262684793677
zumindest	6	1445	7	1	1.2971956951377284	2.5242262684793677
aktiv	6	1445	7	1	1.2971956951377284	2.5242262684793677
Erstaufnahme	6	1445	7	1	1.2971956951377284	2.5242262684793677
Agentur	6	1445	7	1	1.2971956951377284	2.5242262684793677
Sprachförderung	6	1445	7	1	1.2971956951377284	2.5242262684793677
geflüchtet	6	1445	7	1	1.2971956951377284	2.5242262684793677
Verwaltung	6	1445	7	1	1.2971956951377284	2.5242262684793677
