token	label	f_x	f_y	f_xy	pmi	pmi_freq
Bund	8	5583	84	58	1.5211151111323196	6.739782387379495
Kommune	8	5583	58	35	1.3863939503722083	5.629373625652672
Asylverfahren	8	5583	73	36	1.1845483967369328	5.082256852277163
Milliarde	8	5583	36	22	1.3990124143314195	5.013387481891848
Verfahren	8	5583	46	25	1.2817233278083195	4.907258991692695
zusätzlich	8	5583	34	20	1.3608606483670433	4.798885269905097
beschleunigen	8	5583	35	20	1.3318731114937912	4.7352724850993235
Geld	8	5583	84	36	1.0441910390420102	4.626619196988993
schnell	8	5583	167	61	0.88436895118577	4.526194820062266
Euro	8	5583	62	28	1.0965590245593262	4.525646455490301
Personal	8	5583	16	12	1.6038068269774328	4.446696721128799
Bundesamt	8	5583	34	18	1.2555001327092172	4.4273461066361355
finanziell	8	5583	17	12	1.5431822051609982	4.372164415972238
BAMF	8	5583	12	10	1.7091673426352592	4.247121295314841
Stelle	8	5583	17	11	1.4561708281713683	4.125642621600512
Land	8	5583	215	65	0.6952381411971881	3.7338723997184076
Bundespolizei	8	5583	10	7	1.5348139554904814	3.5340397344316097
Behörde	8	5583	35	14	0.9751981675550587	3.4671689145849065
beschleunigt	8	5583	12	7	1.352492398696527	3.3608173553087233
Beschleunigung	8	5583	8	6	1.6038068269774328	3.3350225408465985
übernehmen	8	5583	20	9	1.0929812032114423	3.2742790648483906
Schäuble	8	5583	20	9	1.0929812032114423	3.2742790648483906
Härte	8	5583	9	6	1.4860237913210494	3.2651279967969593
entscheiden	8	5583	13	7	1.2724496910229905	3.2637690173915503
Asylantrag	8	5583	28	11	0.9571796620523805	3.1895183869389196
fair	8	5583	21	9	1.0441910390420102	3.179063047633135
Kosten	8	5583	25	10	0.9751981675550587	3.1390418059987475
Million	8	5583	36	13	0.8729193184346407	3.1281229093547345
Bearbeitung	8	5583	6	5	1.7091673426352592	3.062416770662077
aufstocken	8	5583	6	5	1.7091673426352592	3.062416770662077
binnen	8	5583	6	5	1.7091673426352592	3.062416770662077
ernst	8	5583	15	7	1.129348847382317	3.0583333732682325
Haushalt	8	5583	5	5	1.8914888994292138	3.0442339456896277
Ausgabe	8	5583	7	5	1.5550166628080009	3.025922706108213
De	8	5583	19	8	1.0264914619426093	3.0224414723253634
Bewältigung	8	5583	12	6	1.1983417188692684	2.9777673059366276
Bundesregierung	8	5583	113	32	0.6298369835165999	2.9774836836508998
verdoppeln	8	5583	8	5	1.4214852701834784	2.9558955217055103
zügig	8	5583	16	7	1.064810326244746	2.9522811018706445
versprechen	8	5583	16	7	1.064810326244746	2.9522811018706445
Flüchtlingsunterkünft	8	5583	20	8	0.9751981675550587	2.921432623655402
Fall	8	5583	20	8	0.9751981675550587	2.921432623655402
Bundesland	8	5583	24	9	0.9106596464174876	2.8941253774404023
Sorge	8	5583	13	6	1.118299011195732	2.8683803302163646
abschließen	8	5583	9	5	1.3037022345270948	2.8645265912310807
Antrag	8	5583	36	12	0.7928766107611042	2.8412883505213102
einfach	8	5583	25	9	0.8698376518972325	2.799899389252123
mehr	8	5583	262	65	0.49753166556375406	2.770427715389034
nehmen	8	5583	37	12	0.7654776365729896	2.7640769096299738
Verfahrensbeschleunigung	8	5583	10	5	1.1983417188692684	2.7592837781812394
Schule	8	5583	14	6	1.0441910390420102	2.7556800151023895
Migration	8	5583	45	14	0.7238837392741527	2.755581077249595
Bürokratie	8	5583	5	4	1.6683453481150041	2.6850982542893544
Einzelfall	8	5583	5	4	1.6683453481150041	2.6850982542893544
Schnellverfahren	8	5583	5	4	1.6683453481150041	2.6850982542893544
erforderlich	8	5583	5	4	1.6683453481150041	2.6850982542893544
Kriterium	8	5583	5	4	1.6683453481150041	2.6850982542893544
Last	8	5583	6	4	1.4860237913210494	2.6625971995976654
dauern	8	5583	6	4	1.4860237913210494	2.6625971995976654
entlasten	8	5583	6	4	1.4860237913210494	2.6625971995976654
dadurch	8	5583	6	4	1.4860237913210494	2.6625971995976654
Täter	8	5583	6	4	1.4860237913210494	2.6625971995976654
zugleich	8	5583	15	6	0.9751981675550587	2.6408855937619835
Finanzminister	8	5583	15	6	0.9751981675550587	2.6408855937619835
Kirche	8	5583	15	6	0.9751981675550587	2.6408855937619835
Beispiel	8	5583	19	7	0.8929600693180866	2.6292664349393404
zentral	8	5583	7	4	1.3318731114937912	2.591705404909647
benötigen	8	5583	7	4	1.3318731114937912	2.591705404909647
Einzelfallprüfung	8	5583	7	4	1.3318731114937912	2.591705404909647
Unterkünfte	8	5583	7	4	1.3318731114937912	2.591705404909647
investieren	8	5583	7	4	1.3318731114937912	2.591705404909647
demnach	8	5583	7	4	1.3318731114937912	2.591705404909647
Mitarbeiter	8	5583	12	5	1.016020162075314	2.5247152570596296
Frage	8	5583	20	7	0.8416667749305361	2.52140832123751
Lastenverteilung	8	5583	8	4	1.1983417188692684	2.491881551344776
lockern	8	5583	8	4	1.1983417188692684	2.491881551344776
Art	8	5583	8	4	1.1983417188692684	2.491881551344776
Priorität	8	5583	8	4	1.1983417188692684	2.491881551344776
Norbert	8	5583	8	4	1.1983417188692684	2.491881551344776
Jäger	8	5583	8	4	1.1983417188692684	2.491881551344776
abschieben	8	5583	62	17	0.5975678584403383	2.466242855966878
endlich	8	5583	37	11	0.6784662595833599	2.4498859698542805
Zahl	8	5583	33	10	0.6975664309567793	2.4390463004655643
Verfügung	8	5583	25	8	0.752054616240849	2.420770423198201
Maizière	8	5583	89	23	0.5383467456262238	2.4164427819448044
prüfen	8	5583	21	7	0.7928766107611042	2.4139306318082823
Flüchtlingskris	8	5583	17	6	0.8500350246010528	2.408330574614857
dauerhaft	8	5583	13	5	0.9359774544017775	2.400734770266324
verfolgen	8	5583	13	5	0.9359774544017775	2.400734770266324
außerdem	8	5583	42	12	0.6387259309338459	2.387346506461197
