token	label	f_x	f_y	f_xy	pmi	pmi_freq
Gewalt	4	1413	34	12	2.2240461872268855	7.842788679559974
Flüchtlingsunterkünft	4	1413	20	9	2.466992365837275	7.390448648950039
Heiko	4	1413	14	8	2.705884274119624	7.1409837267060565
Maas	4	1413	16	8	2.5723528814951013	7.132076588854322
Bundesjustizminister	4	1413	10	8	3.042356510740837	7.005284749205231
Schutz	4	1413	53	11	1.6931034213012957	6.722114822399965
Anschlag	4	1413	21	7	2.166887773386937	6.597138446105078
Übergriff	4	1413	15	6	2.349209330180892	6.361776799027553
Polizei	4	1413	31	7	1.777423006625214	6.1036478617085015
inhaftieren	4	1413	13	5	2.3099886170276105	5.925003818988434
verurteilen	4	1413	14	5	2.2358806448738884	5.900617203999325
Heidenau	4	1413	15	5	2.166887773386937	5.868040870486415
schützen	4	1413	18	5	1.9845662165929825	5.7361341441152
Sicherheit	4	1413	7	5	2.9290278254338338	5.699624972377111
sexuell	4	1413	7	5	2.9290278254338338	5.699624972377111
darin	4	1413	9	4	2.454569845838718	5.393241192065207
Flüchtlingsheim	4	1413	12	4	2.166887773386937	5.384513837433514
Tat	4	1413	8	4	2.5723528814951013	5.349057441640741
schreiben	4	1413	25	5	1.6560621496209464	5.33065841789413
Samstag	4	1413	25	5	1.6560621496209464	5.33065841789413
Flüchtlingsunterkünfte	4	1413	7	4	2.705884274119624	5.265407671178545
Angst	4	1413	15	4	1.9437442220727275	5.263756931475308
Geflüchtet	4	1413	17	4	1.8185810791187214	5.1524281806073144
Möglichkeit	4	1413	20	4	1.6560621496209464	4.961118828630667
Gefängnis	4	1413	5	4	3.042356510740837	4.896483911527026
Heim	4	1413	8	3	2.2846708090433205	4.75083938938796
wenigstens	4	1413	6	3	2.5723528814951013	4.60903763361492
Unterkunft	4	1413	26	4	1.3936978851534556	4.540802254666335
gut	4	1413	98	10	0.9831176763785205	4.507562573901697
distanzieren	4	1413	5	3	2.7546744382890562	4.433477477395517
beschämend	4	1413	5	3	2.7546744382890562	4.433477477395517
Gefahr	4	1413	5	3	2.7546744382890562	4.433477477395517
recht	4	1413	16	3	1.5915236284833754	4.412640463511142
Sachsen	4	1413	17	3	1.5308990066669403	4.337363494091182
Ausländer	4	1413	17	3	1.5308990066669403	4.337363494091182
verpflichten	4	1413	19	3	1.4196733715567162	4.180141612896236
Frau	4	1413	19	3	1.4196733715567162	4.180141612896236
Wochenende	4	1413	32	4	1.186058520375211	4.110565596885889
Kind	4	1413	32	4	1.186058520375211	4.110565596885889
Innenminister	4	1413	70	7	0.9629149690610013	4.09093966455377
setzen	4	1413	59	6	0.9797220873773824	3.994853495902748
Gewerkschaft	4	1413	7	2	2.0127370935596787	3.916605537737872
Angriff	4	1413	7	2	2.0127370935596787	3.916605537737872
Haus	4	1413	8	2	1.8792057009351562	3.9076983998861374
rechtsextrem	4	1413	8	2	1.8792057009351562	3.9076983998861374
Ankunft	4	1413	8	2	1.8792057009351562	3.9076983998861374
unbegleitet	4	1413	8	2	1.8792057009351562	3.9076983998861374
frei	4	1413	8	2	1.8792057009351562	3.9076983998861374
teilnehmen	4	1413	8	2	1.8792057009351562	3.9076983998861374
Nacht	4	1413	8	2	1.8792057009351562	3.9076983998861374
Brandanschlag	4	1413	6	2	2.166887773386937	3.8825416867205402
Bundesverfassungsgericht	4	1413	6	2	2.166887773386937	3.8825416867205402
bedrohen	4	1413	6	2	2.166887773386937	3.8825416867205402
minderjährig	4	1413	6	2	2.166887773386937	3.8825416867205402
generell	4	1413	6	2	2.166887773386937	3.8825416867205402
verletzen	4	1413	6	2	2.166887773386937	3.8825416867205402
Kooperation	4	1413	6	2	2.166887773386937	3.8825416867205402
jeweilig	4	1413	6	2	2.166887773386937	3.8825416867205402
